"","Study","Authors","Year","Source","Source_Type","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"18","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Choice reaction time","Sustained Attention","RT","Speed",0.25,0.9,25.8,28.8,244.08,220.35,3,27.3,0.65,0.575,1.4957264957265,"Psychomotor","S","Absolute"
"19","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Finger tapping","Motor Control","NOE","Speed",-0.45,0.25,23.1,25.8,6.057,6.319,2.7,24.45,0.7,-0.1,0.617939102337318,"Psychomotor","S","Absolute"
"20","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Finger tapping","Motor Control","NOE","Speed",0.25,0.9,25.8,28.8,6.319,6.197,3,27.3,0.65,0.575,-0.29702849769316,"Psychomotor","S","Absolute"
"22","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Finger tapping","Motor Control","NOE","Speed",-0.2,0,25.8,28.8,6.22,6.26,3,27.3,0.2,-0.1,0.321543408360129,"Psychomotor","S","Absolute"
"71","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Mental redirection","Spatial Memory","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,48.5,49.1,8.4,31.3,2.2,1.16666666666667,0.0562324273664481,"Cognitive","C","Absolute"
"72","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Grammatical reasoning","Grammatical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,8.3,9.1,8.4,31.3,2.2,1.16666666666667,0.438116100766703,"Cognitive","C","Absolute"
"73","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,24,23.3,8.4,31.3,2.2,1.16666666666667,-0.132575757575757,"Perceptual","S","Absolute"
"74","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Addition & subtraction","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,21.1,20.2,8.4,31.3,2.2,1.16666666666667,-0.19388194743645,"Cognitive","C","Absolute"
"75","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Multiplication","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,5.7,6.1,8.4,31.3,2.2,1.16666666666667,0.318979266347687,"Cognitive","C","Absolute"
"76","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual reaction time","Sustained Attention","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,92.9,94.5,8.4,31.3,2.2,1.16666666666667,0.0782855465309714,"Psychomotor","S","Absolute"
"77","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual learning memory","Recognition Memory","RT","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,90.5,90.2,8.4,31.3,2.2,1.16666666666667,0.0150678051230536,"Perceptual","S","Absolute"
"78","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,27.6,27.9,8.4,31.3,2.2,1.16666666666667,0.0494071146245055,"Perceptual","S","Absolute"
"79","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Calculation","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,15.3,14.8,8.4,31.3,2.2,1.16666666666667,-0.148544266191325,"Cognitive","C","Absolute"
"80","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"d2 test","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,644,634,8.4,31.3,2.2,1.16666666666667,-0.0705815923207228,"Perceptual","S","Absolute"
"81","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,13.6,13.8,8.4,31.3,2.2,1.16666666666667,0.0668449197860966,"Perceptual","S","Absolute"
"82","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,1.7,1.3,8.4,31.3,2.2,1.16666666666667,-1.06951871657754,"Perceptual","S","Absolute"
"83","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-2.63,-1.485,16.2,17.9,12.79,11.72,1.7,17.05,1.145,-2.0575,0.730647237368167,"Perceptual","S","Absolute"
"84","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-1.485,-1.21,17.9,20,11.72,11.45,2.1,18.95,0.275,-1.3475,0.837728824076952,"Perceptual","S","Absolute"
"85","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-1.21,-0.27,20,22.3,11.45,12.23,2.3,21.15,0.94,-0.74,-0.724705007897427,"Perceptual","S","Absolute"
"86","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-0.27,0.075,22.3,24.1,12.23,12.35,1.8,23.2,0.345,-0.0975,-0.28440399587614,"Perceptual","S","Absolute"
"88","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",0.6,1.445,26.2,27.7,14.23,12.99,1.5,26.95,0.845,1.0225,1.03124077392957,"Perceptual","S","Absolute"
"89","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-2.63,-1.485,16.2,17.9,2.09,2,1.7,17.05,1.145,-2.0575,0.376089091326967,"Cognitive","C","Absolute"
"91","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-1.21,-0.27,20,22.3,2.07,1.95,2.3,21.15,0.94,-0.74,0.616712920135676,"Cognitive","C","Absolute"
"93","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",0.075,0.6,24.1,26.2,2.13,2.07,2.1,25.15,0.525,0.3375,0.536552649228706,"Cognitive","C","Absolute"
"94","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",0.6,1.445,26.2,27.7,2.07,2.26,1.5,26.95,0.845,1.0225,-1.08624188891747,"Cognitive","C","Absolute"
"95","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-2.63,-1.485,16.2,17.9,2.04,1.93,1.7,17.05,1.145,-2.0575,0.470930730370751,"Cognitive","C","Absolute"
"96","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-1.485,-1.21,17.9,20,1.93,1.93,2.1,18.95,0.275,-1.3475,0,"Cognitive","C","Absolute"
"97","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-1.21,-0.27,20,22.3,1.93,1.97,2.3,21.15,0.94,-0.74,-0.220482857457833,"Cognitive","C","Absolute"
"98","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-0.27,0.075,22.3,24.1,1.97,1.92,1.8,23.2,0.345,-0.0975,0.735672772750681,"Cognitive","C","Absolute"
"99","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",0.075,0.6,24.1,26.2,1.92,2.01,2.1,25.15,0.525,0.3375,-0.892857142857141,"Cognitive","C","Absolute"
"100","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","J","Beijing","China","Continental",21,12,9,21.6714285714286,NA,"YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",0.6,1.445,26.2,27.7,2.01,2.16,1.5,26.95,0.845,1.0225,-0.883158173628899,"Cognitive","C","Absolute"
"101","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Text typing","Simulated Work","NOE","Speed",-0.1,1.85,23.5,29.5,2640,2690,6,26.5,1.95,0.875,0.0971250971250971,"Cognitive","C","Absolute"
"102","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Star counting","M. Reasoning + Inhibition","T","Speed",-0.1,1.85,23.5,29.5,56.1,54.6,6,26.5,1.95,0.875,0.137117784176608,"Cognitive","C","Absolute"
"103","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Vigilance","Sustained Attention","RT","Speed",-0.1,1.85,23.5,29.5,461,449,6,26.5,1.95,0.875,0.133489070582346,"Psychomotor","S","Absolute"
"104","15-Ma","Maula, Hongisto, Östman, Haapakangas, Koskela, Hyönä",2015,"Indoor Air","J","Turku","Finland","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Operation span N-back","Working Memory","RT","Speed",-0.1,1.85,23.5,29.5,482,515,6,26.5,1.95,0.875,-0.3511011809767,"Cognitive","C","Absolute"
"110","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",12,6,6,23,NA,"NO","YES",0.9,0.9,"Text typing","Simulated Work","RT","Speed",0.01,2.14,23.3,31.1,0.538,0.528,7.8,27.2,2.13,1.075,0.0872646037314345,"Cognitive","C","Absolute"
"111","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",10,10,0,23,"Students","YES","YES",0.1,0.1,"Addition","Mathematical Reasoning","RT","Speed",0.01,2.14,23.3,31.1,19.9,22.1,7.8,27.2,2.13,1.075,-0.519027060183547,"Cognitive","C","Absolute"
"112","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",36,18,18,22.3,"Students","NO","YES",0.7,0.7,"Redirection","Spatial Memory","RT","Speed",0.01,2.14,23.3,31.1,1.084,1.116,7.8,27.2,2.13,1.075,-0.138592935225127,"Cognitive","C","Absolute"
"113","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Grammatical reasoning","Grammatical Reasoning","RT","Speed",0.01,2.14,23.3,31.1,6.764,7.811,7.8,27.2,2.13,1.075,-0.726713920423784,"Cognitive","C","Absolute"
"114","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",18,11,7,21.2,"Students","YES","YES",0.5,0.5,"Stroop","Inhibition","RT","Speed",0.01,2.14,23.3,31.1,1.955,2.151,7.8,27.2,2.13,1.075,-0.47068429331316,"Perceptual","S","Absolute"
"115","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",68,21,47,73.3,NA,"YES","YES",NA,NA,"Number calculation","Mathematical Reasoning","RT","Speed",0.01,2.14,23.3,31.1,4.381,4.6,7.8,27.2,2.13,1.075,-0.234688202256221,"Cognitive","C","Absolute"
"116","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","J",NA,"China","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Visual reaction time","Sustained Attention","RT","Speed",0.01,2.14,23.3,31.1,0.595,0.648,7.8,27.2,2.13,1.075,-0.418195447192962,"Psychomotor","S","Absolute"
"220","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Code substitution","Visual Searching","RT","Speed",-2.33333333333333,0.5,10,25,794.333333333333,797,15,17.5,2.83333333333333,-0.916666666666667,-0.0118486337044273,"Perceptual","S","Absolute"
"221","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Code sub delayed","Short-Term Memory","RT","Speed",-2.33333333333333,0.5,10,25,811,751,15,17.5,2.83333333333333,-0.916666666666667,0.261115543628055,"Cognitive","C","Absolute"
"222","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Logical reasoning","Grammatical Reasoning","RT","Speed",-2.33333333333333,0.5,10,25,1439.33333333333,1497.33333333333,15,17.5,2.83333333333333,-0.916666666666667,-0.142222706590742,"Cognitive","C","Absolute"
"223","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Match-to-sample","Visual Searching","RT","Speed",-2.33333333333333,0.5,10,25,1059.66666666667,1133,15,17.5,2.83333333333333,-0.916666666666667,-0.244249949114582,"Perceptual","S","Absolute"
"224","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Continuous performance","Sustained Attention","RT","Speed",-2.33333333333333,0.5,10,25,392,398.666666666667,15,17.5,2.83333333333333,-0.916666666666667,-0.0600240096038448,"Psychomotor","S","Absolute"
"225","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Simple reaction time","Sustained Attention","RT","Speed",-2.33333333333333,0.5,10,25,233,227,15,17.5,2.83333333333333,-0.916666666666667,0.0908861398636708,"Psychomotor","S","Absolute"
"226","06-Ma","Makinen, Palinkas, Reeves, Paakkonen, Rintamaki, Leppaluoto, Hassi",2006,"Physiology & Behavior","J","Oulu","Finland","Continental",10,10,0,22.6,NA,"YES","YES",NA,0.16,"Sternberg 6","Recognition Memory","RT","Speed",-2.33333333333333,0.5,10,25,562,561.333333333333,15,17.5,2.83333333333333,-0.916666666666667,0.00418672807201363,"Perceptual","S","Absolute"
"227","05-Th.2","Tham, Willem",2005,"ASHRAE Transactions","J","Singapore","Singapore","Tropical",26,2,24,33,"Call center officers","NO","YES",NA,0.67,"Talk time","Existing Outcome Measures","T","Speed",-0.46,0.17,22.5,24.5,167.741935483871,177.204301075269,2,23.5,0.63,-0.145,-0.895400895400909,"Cognitive","C","Absolute"
"228","05-Th.2","Tham, Willem",2005,"ASHRAE Transactions","J","Singapore","Singapore","Tropical",26,2,24,33,"Call center officers","NO","YES",NA,0.67,"Talk time","Existing Outcome Measures","T","Speed",-0.46,0.17,22.9,24.4,161.935483870968,173.978494623656,1.5,23.65,0.63,-0.145,-1.18046333185773,"Cognitive","C","Absolute"
"229","05-Th.1","Tham, Willem",2005,"ASHRAE Transactions","J","Singapore","Singapore","Tropical",27,NA,NA,NA,"Call center officers","NO","NO",NA,0.58,"Talk time","Existing Outcome Measures","T","Speed",-0.55,0.1,21.9,24.8,133.978494623656,143.118279569892,2.9,23.35,0.65,-0.225,-1.04951228546728,"Cognitive","C","Absolute"
"230","05-Th.1","Tham, Willem",2005,"ASHRAE Transactions","J","Singapore","Singapore","Tropical",27,NA,NA,NA,"Call center officers","NO","NO",NA,0.58,"Talk time","Existing Outcome Measures","T","Speed",-0.55,0.1,22,24.5,139.89247311828,132.903225806452,2.5,23.25,0.65,-0.225,0.768639508070717,"Cognitive","C","Absolute"
"236","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",-0.13,1.13,22.2,25.9,13.5,13.3,3.7,24.05,1.26,0.5,-0.117577895355673,"Perceptual","S","Absolute"
"237","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",1.13,1.99,25.9,29.9,13.3,13,4,27.9,0.86,1.56,-0.262283616016787,"Perceptual","S","Absolute"
"238","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",-0.13,1.13,22.2,25.9,229.1,225.6,3.7,24.05,1.26,0.5,-0.121247393181047,"Cognitive","C","Absolute"
"239","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",1.13,1.99,25.9,29.9,225.6,227.2,4,27.9,0.86,1.56,0.0824674253669797,"Cognitive","C","Absolute"
"240","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Proofreading","Verbal Comprehension","NOE","Speed",-0.13,1.13,22.2,25.9,11.6,11.5,3.7,24.05,1.26,0.5,-0.0684181718664475,"Cognitive","C","Absolute"
"241","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Proofreading","Verbal Comprehension","NOE","Speed",1.13,1.99,25.9,29.9,11.5,11.3,4,27.9,0.86,1.56,-0.202224469160768,"Cognitive","C","Absolute"
"242","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.13,1.13,22.2,25.9,163.3,164.6,3.7,24.05,1.26,0.5,0.063181018478017,"Cognitive","C","Absolute"
"243","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.13,1.99,25.9,29.9,164.6,162.8,4,27.9,0.86,1.56,-0.127158156489303,"Cognitive","C","Absolute"
"244","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.13,1.13,22.2,25.9,162.6,154.6,3.7,24.05,1.26,0.5,-0.390480095277143,"Cognitive","C","Absolute"
"245","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.13,1.99,25.9,29.9,154.6,159.4,4,27.9,0.86,1.56,0.361021691386625,"Cognitive","C","Absolute"
"246","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",-0.03,1.14,22.3,25.8,13.1,14.1,3.5,24.05,1.17,0.555,0.652443400535004,"Perceptual","S","Absolute"
"247","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",1.14,2.19,25.8,29.7,14.1,14.9,3.9,27.75,1.05,1.665,0.540357987166498,"Perceptual","S","Absolute"
"248","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",-0.03,1.14,22.3,25.8,216,227.4,3.5,24.05,1.17,0.555,0.451092117758785,"Cognitive","C","Absolute"
"249","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",1.14,2.19,25.8,29.7,227.4,220.1,3.9,27.75,1.05,1.665,-0.305733551116137,"Cognitive","C","Absolute"
"250","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",-0.03,1.14,22.3,25.8,12.2,11.6,3.5,24.05,1.17,0.555,-0.420344682639764,"Cognitive","C","Absolute"
"251","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",1.14,2.19,25.8,29.7,11.6,11.9,3.9,27.75,1.05,1.665,0.246305418719212,"Cognitive","C","Absolute"
"252","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.03,1.14,22.3,25.8,163.6,166.8,3.5,24.05,1.17,0.555,0.167178651286232,"Cognitive","C","Absolute"
"253","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","J","Copenhagen","Denmark","Temperate",30,16,14,NA,NA,"NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.14,2.19,25.8,29.7,166.8,166.9,3.9,27.75,1.05,1.665,0.00570971793993344,"Cognitive","C","Absolute"
